"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 25 13:18:00 CST 2023","Mon Sep 25 13:18:44 CST 2023","44009","test_case","testlogsign","Testcase","","","登录",""
"broken","Mon Sep 25 13:18:44 CST 2023","Mon Sep 25 13:19:56 CST 2023","71898","test_case","testlogsign","Testcase","","","注册",""
